LineId,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,Jun,14,15:16:01,combo,sshd(pam_unix)[19939],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=218.188.2.4'], '0']"
2,Jun,14,15:16:02,combo,sshd(pam_unix)[19937],check pass; user unknown,1,check pass; user unknown ,['1']
3,Jun,14,15:16:02,combo,sshd(pam_unix)[19937],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=218.188.2.4'], '0']"
4,Jun,15,02:04:59,combo,sshd(pam_unix)[20882],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '38937']"
5,Jun,15,02:04:59,combo,sshd(pam_unix)[20884],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
6,Jun,15,02:04:59,combo,sshd(pam_unix)[20883],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
7,Jun,15,02:04:59,combo,sshd(pam_unix)[20885],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
8,Jun,15,02:04:59,combo,sshd(pam_unix)[20886],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
9,Jun,15,02:04:59,combo,sshd(pam_unix)[20892],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
10,Jun,15,02:04:59,combo,sshd(pam_unix)[20893],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
11,Jun,15,02:04:59,combo,sshd(pam_unix)[20896],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
12,Jun,15,02:04:59,combo,sshd(pam_unix)[20897],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
13,Jun,15,02:04:59,combo,sshd(pam_unix)[20898],authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net user=root,0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= * ,"[['rhost=220-135-151-1.hinet-ip.hinet.net', 'user=root'], '0']"
14,Jun,15,04:06:18,combo,su(pam_unix)[21416],session opened for user cyrus by (uid=0),2,session * for user cyrus ,"[['opened'], '7279']"
15,Jun,15,04:06:19,combo,su(pam_unix)[21416],session closed for user cyrus,2,session * for user cyrus ,"[['closed'], '1']"
16,Jun,15,04:06:20,combo,logrotate,ALERT exited abnormally with [1],3,ALERT exited abnormally with [1] ,['1']
